epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1319.54,0.54278,0.46919,1.00942,0.92634,0.87704,0.92184,0.80795,0.59636,0.5669,1.03675,0.000663555,0.000663555,0.000663555
89,1334.1,0.53611,0.45715,1.01276,0.89385,0.91821,0.93853,0.80736,0.59473,0.48071,1.01408,0.000659688,0.000659688,0.000659688
90,1348.66,0.54792,0.44674,1.01084,0.91119,0.91273,0.94444,0.81143,0.62847,0.46106,1.04027,0.00065582,0.00065582,0.00065582
91,1364.26,0.54938,0.4748,1.01687,0.89137,0.91155,0.93881,0.81049,0.6276,0.44212,1.07216,0.000651953,0.000651953,0.000651953
92,1378.96,0.51959,0.43745,1.00211,0.90064,0.90336,0.93239,0.81654,0.62939,0.49093,1.06786,0.000648086,0.000648086,0.000648086
93,1393.65,0.53445,0.44631,1.00117,0.91677,0.87268,0.94319,0.80831,0.60593,0.47615,1.03884,0.000644219,0.000644219,0.000644219
94,1408.25,0.53447,0.43611,1.0079,0.93973,0.86372,0.94023,0.81792,0.5695,0.4642,1.01986,0.000640352,0.000640352,0.000640352
95,1423.06,0.53455,0.43307,1.00138,0.94027,0.91468,0.95656,0.82774,0.59014,0.43625,1.01854,0.000636484,0.000636484,0.000636484
96,1437.85,0.53983,0.44424,1.01093,0.90874,0.91868,0.94679,0.81786,0.59753,0.42745,1.05492,0.000632617,0.000632617,0.000632617
97,1453.29,0.52402,0.41527,0.99323,0.92234,0.8927,0.93412,0.80423,0.62968,0.46804,1.08206,0.00062875,0.00062875,0.00062875
98,1467.62,0.54256,0.4324,1.01044,0.92984,0.89528,0.94447,0.81245,0.61733,0.44129,1.07689,0.000624883,0.000624883,0.000624883
99,1482.14,0.51884,0.41962,0.99407,0.88136,0.82593,0.90566,0.76421,0.63815,0.56244,1.08783,0.000621016,0.000621016,0.000621016
100,1496.71,0.54236,0.43273,1.00605,0.89816,0.84726,0.90952,0.78459,0.65328,0.55125,1.05422,0.000617148,0.000617148,0.000617148
101,1511.38,0.52584,0.42663,0.99942,0.91193,0.85581,0.90711,0.7859,0.64303,0.56675,1.07119,0.000613281,0.000613281,0.000613281
102,1525.91,0.52242,0.42327,0.99387,0.90265,0.88716,0.93085,0.81671,0.58485,0.494,1.02117,0.000609414,0.000609414,0.000609414
103,1541.22,0.53494,0.42699,1.0085,0.90748,0.89681,0.94478,0.81323,0.60183,0.47977,1.03532,0.000605547,0.000605547,0.000605547
104,1555.83,0.51107,0.417,0.98889,0.90506,0.89477,0.91879,0.79907,0.61492,0.49187,1.05844,0.00060168,0.00060168,0.00060168
105,1570.23,0.51565,0.41496,0.99747,0.91908,0.86934,0.92565,0.81517,0.62593,0.45018,1.04569,0.000597812,0.000597812,0.000597812
106,1584.63,0.52041,0.41493,1.00714,0.94785,0.87512,0.94318,0.82921,0.61258,0.46146,1.04874,0.000593945,0.000593945,0.000593945
107,1599.21,0.51966,0.42377,0.99751,0.89141,0.90796,0.93014,0.8122,0.62592,0.43379,1.07125,0.000590078,0.000590078,0.000590078
108,1613.56,0.52308,0.41087,0.9908,0.91078,0.89575,0.94153,0.82263,0.61198,0.45377,1.05739,0.000586211,0.000586211,0.000586211
109,1628.69,0.51825,0.41428,1.00405,0.93328,0.8769,0.93283,0.80805,0.64325,0.46041,1.06991,0.000582344,0.000582344,0.000582344
110,1643.47,0.52111,0.41572,0.99765,0.92061,0.87812,0.93295,0.8065,0.58862,0.42618,1.02714,0.000578477,0.000578477,0.000578477
111,1657.93,0.5185,0.42605,1.00433,0.93672,0.87396,0.91765,0.79413,0.61608,0.48973,1.04373,0.000574609,0.000574609,0.000574609
112,1672.42,0.53156,0.42117,1.00674,0.94291,0.85988,0.93493,0.80898,0.59754,0.43921,1.02483,0.000570742,0.000570742,0.000570742
113,1686.93,0.51026,0.40096,0.99232,0.94114,0.9126,0.93943,0.8246,0.60637,0.40816,1.05113,0.000566875,0.000566875,0.000566875
114,1701.47,0.5281,0.41186,0.98882,0.92419,0.88671,0.93683,0.80184,0.61977,0.43805,1.02994,0.000563008,0.000563008,0.000563008
115,1716.21,0.522,0.39762,1.00112,0.95546,0.87124,0.93115,0.81945,0.58241,0.42954,1.0312,0.000559141,0.000559141,0.000559141
116,1731.29,0.51839,0.40581,0.98804,0.94712,0.90438,0.93836,0.80594,0.62908,0.46574,1.05072,0.000555273,0.000555273,0.000555273
117,1746.09,0.51181,0.40934,0.98848,0.97323,0.84315,0.9421,0.80559,0.63453,0.46527,1.068,0.000551406,0.000551406,0.000551406
118,1760.52,0.52065,0.40666,0.99346,0.93386,0.87044,0.9403,0.80715,0.6311,0.44533,1.06131,0.000547539,0.000547539,0.000547539
119,1775,0.51699,0.4037,0.99104,0.90121,0.887,0.92024,0.80395,0.6247,0.49081,1.05636,0.000543672,0.000543672,0.000543672
120,1789.34,0.49072,0.38312,0.98399,0.92582,0.91333,0.94256,0.82528,0.59336,0.45772,1.04014,0.000539805,0.000539805,0.000539805
121,1804.14,0.51246,0.39602,0.99269,0.90493,0.88044,0.91227,0.78943,0.63661,0.52186,1.06382,0.000535937,0.000535937,0.000535937
122,1819.6,0.52111,0.41497,0.98817,0.94018,0.86468,0.92998,0.79879,0.63813,0.48017,1.05119,0.00053207,0.00053207,0.00053207
123,1834.08,0.52276,0.40507,0.99332,0.91749,0.88982,0.92883,0.79482,0.63756,0.50205,1.05222,0.000528203,0.000528203,0.000528203
124,1848.68,0.49766,0.38952,0.98228,0.90966,0.92003,0.94416,0.81883,0.64393,0.46912,1.05475,0.000524336,0.000524336,0.000524336
125,1863.21,0.50033,0.37729,0.98861,0.93162,0.88729,0.94256,0.82505,0.62301,0.45778,1.06067,0.000520469,0.000520469,0.000520469
126,1877.77,0.5121,0.39469,0.996,0.92376,0.86549,0.92774,0.80047,0.58543,0.48436,1.02213,0.000516602,0.000516602,0.000516602
127,1892.26,0.50068,0.38975,0.98676,0.93154,0.88413,0.94515,0.82013,0.60059,0.41992,1.05198,0.000512734,0.000512734,0.000512734
128,1907.29,0.50522,0.39465,0.99104,0.9603,0.87815,0.93533,0.81272,0.60926,0.45292,1.04249,0.000508867,0.000508867,0.000508867
129,1922.23,0.49475,0.38758,0.98283,0.94997,0.88225,0.94387,0.82101,0.60244,0.48541,1.03832,0.000505,0.000505,0.000505
130,1936.92,0.51562,0.39798,0.99842,0.94067,0.88211,0.93615,0.81462,0.61122,0.43254,1.02734,0.000501133,0.000501133,0.000501133
131,1951.49,0.49172,0.38903,0.98099,0.9139,0.87689,0.9283,0.80183,0.63502,0.44248,1.0375,0.000497266,0.000497266,0.000497266
132,1965.88,0.50942,0.39077,0.98832,0.93714,0.89448,0.93009,0.81136,0.61702,0.4816,1.0352,0.000493398,0.000493398,0.000493398
133,1980.2,0.50348,0.39186,0.98667,0.95383,0.87806,0.92877,0.81699,0.60159,0.50416,1.03316,0.000489531,0.000489531,0.000489531
134,1994.9,0.48528,0.37714,0.98178,0.95307,0.85825,0.93028,0.81999,0.60619,0.46415,1.02565,0.000485664,0.000485664,0.000485664
135,2010.09,0.50728,0.37925,0.99362,0.90053,0.90728,0.94295,0.82085,0.6053,0.46553,1.02198,0.000481797,0.000481797,0.000481797
136,2024.68,0.49755,0.37152,0.97683,0.93741,0.88935,0.94606,0.83444,0.57745,0.4399,0.99768,0.00047793,0.00047793,0.00047793
137,2039.37,0.4907,0.36498,0.96955,0.88673,0.91307,0.94254,0.83049,0.58006,0.42369,1.01173,0.000474062,0.000474062,0.000474062
138,2053.92,0.4964,0.38778,0.98647,0.94158,0.8681,0.92719,0.81689,0.60345,0.50913,1.01855,0.000470195,0.000470195,0.000470195
139,2068.42,0.49768,0.37358,0.98785,0.94399,0.87451,0.92602,0.81831,0.6082,0.47525,1.03471,0.000466328,0.000466328,0.000466328
140,2082.9,0.47906,0.36,0.97231,0.94062,0.88325,0.93571,0.81998,0.60974,0.48116,1.04172,0.000462461,0.000462461,0.000462461
141,2098.31,0.49456,0.37801,0.98166,0.93807,0.88876,0.92926,0.80639,0.59781,0.48779,1.01763,0.000458594,0.000458594,0.000458594
142,2113.04,0.49358,0.37532,0.98062,0.89191,0.90439,0.91216,0.7886,0.60638,0.52789,1.02708,0.000454727,0.000454727,0.000454727
143,2127.48,0.49378,0.37322,0.97701,0.90101,0.89266,0.92297,0.80257,0.60813,0.53868,1.0241,0.000450859,0.000450859,0.000450859
144,2142.17,0.4967,0.37567,0.98425,0.91291,0.8977,0.92476,0.80577,0.58616,0.49518,1.0045,0.000446992,0.000446992,0.000446992
145,2156.68,0.48068,0.37382,0.97245,0.96115,0.87438,0.94321,0.82481,0.61513,0.45067,1.02506,0.000443125,0.000443125,0.000443125
146,2171.44,0.48501,0.37395,0.98163,0.91974,0.87795,0.93134,0.80475,0.62687,0.51026,1.04887,0.000439258,0.000439258,0.000439258
